                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                  2.187,                   2.34,                 2.3186,                 0.4847,                0.42532,                0.41425,                0.24679,                  3.068,                 3.9108,                  3.052,               0.002344,               0.002344,               0.002344
                    118,                 2.1617,                 2.2826,                 2.3205,                0.48384,                0.42835,                0.41399,                0.24713,                 3.0482,                 3.9062,                 3.0495,               0.002278,               0.002278,               0.002278
                    119,                 2.1475,                 2.2734,                  2.305,                0.48575,                0.40704,                0.41188,                0.24459,                 3.0617,                 3.9216,                 3.0601,               0.002212,               0.002212,               0.002212
                    120,                 2.1315,                 2.2394,                 2.3058,                0.48263,                0.42252,                0.41879,                0.25175,                  3.023,                 3.9179,                 3.0371,               0.002146,               0.002146,               0.002146
                    121,                 2.1425,                 2.2566,                 2.3035,                0.50499,                0.44153,                0.42404,                0.25506,                 3.0479,                 3.8881,                 3.0467,                0.00208,                0.00208,                0.00208
                    122,                 2.1506,                 2.2507,                  2.313,                0.52277,                0.43281,                0.43086,                0.25681,                 3.0613,                 3.8792,                 3.0569,               0.002014,               0.002014,               0.002014
                    123,                 2.1189,                 2.1883,                 2.2953,                0.55632,                0.41559,                 0.4322,                0.25477,                 3.0575,                 3.9058,                 3.0567,               0.001948,               0.001948,               0.001948
                    124,                 2.1176,                 2.2244,                 2.2919,                0.54489,                0.41977,                0.42835,                0.25506,                 3.0413,                 3.9017,                 3.0417,               0.001882,               0.001882,               0.001882
                    125,                 2.1245,                 2.1917,                 2.2872,                0.52379,                0.41629,                0.41774,                0.24873,                 3.0383,                 3.9847,                 3.0428,               0.001816,               0.001816,               0.001816
                    126,                 2.1283,                 2.2018,                 2.2879,                0.54217,                0.41662,                0.41433,                0.24845,                 3.0157,                 3.9683,                 3.0309,                0.00175,                0.00175,                0.00175
                    127,                 2.1194,                 2.1774,                 2.2955,                0.53183,                0.39921,                0.42315,                0.25319,                 3.0343,                  3.946,                 3.0578,               0.001684,               0.001684,               0.001684
                    128,                 2.0893,                 2.1762,                  2.279,                0.54281,                0.40564,                0.41524,                0.25037,                 3.0441,                 4.0098,                 3.0574,               0.001618,               0.001618,               0.001618
                    129,                 2.1076,                 2.1778,                 2.2823,                0.51158,                0.40914,                0.41385,                0.24785,                 3.0329,                 4.0069,                 3.0506,               0.001552,               0.001552,               0.001552
                    130,                 2.1007,                 2.1453,                 2.2862,                 0.5054,                0.42224,                0.42242,                0.25202,                 3.0297,                 3.9872,                 3.0468,               0.001486,               0.001486,               0.001486
                    131,                 2.0776,                 2.1339,                 2.2768,                0.52721,                0.41407,                0.41622,                0.24584,                 3.0753,                 3.9939,                 3.0897,                0.00142,                0.00142,                0.00142
